,action_type,combined_shot_type,game_event_id,lat,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,game_date,matchup,opponent,shot_id,attendance,arena_temp,avgnoisedb
1510,Layup Shot,Layup,296,34.0373,-118.2748,6,3,0,2005-06,15,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/20/2006,Away,BOS,9337,14365,69,97.39
1511,Running Jump Shot,Jump Shot,76,33.9213,-118.2438,1,1,0,2005-06,20,12,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,3/22/2006,Home,SAC,9353,13555,70,90.36
1512,Jump Shot,Jump Shot,107,34.0493,-118.4488,10,2,0,2005-06,46,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,3/22/2006,Home,SAC,9355,13555,70,90.36
1513,Layup Shot,Layup,172,34.0443,-118.2698,4,2,0,2005-06,38,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/22/2006,Home,SAC,9356,13555,70,90.36
1514,Running Jump Shot,Jump Shot,288,33.9703,-118.2928,4,3,0,2005-06,40,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,3/22/2006,Home,SAC,9362,13555,70,90.36
1515,Layup Shot,Layup,425,34.0443,-118.2698,4,4,0,2005-06,12,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/22/2006,Home,SAC,9364,13555,70,90.36
1516,Layup Shot,Layup,438,34.0443,-118.2698,2,4,0,2005-06,28,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/22/2006,Home,SAC,9366,13555,70,90.36
1517,Alley Oop Dunk Shot,Dunk,262,34.0443,-118.2698,7,3,0,2005-06,50,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/24/2006,Home,MIL,9387,14861,73,93.33
1518,Slam Dunk Shot,Dunk,283,34.0443,-118.2698,5,3,0,2005-06,12,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/24/2006,Home,MIL,9388,14861,73,93.33
1519,Layup Shot,Layup,8,34.0443,-118.2698,10,1,0,2005-06,34,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/26/2006,Home,NOP,9396,15429,70,93.87
1520,Jump Shot,Jump Shot,89,33.7693,-118.2848,2,1,0,2005-06,5,27,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,3/26/2006,Home,NOP,9400,15429,70,93.87
1521,Jump Shot,Jump Shot,216,33.9113,-118.1348,0,2,0,2005-06,47,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,3/26/2006,Home,NOP,9406,15429,70,93.87
1522,Jump Shot,Jump Shot,314,33.9193,-118.3948,2,3,0,2005-06,41,17,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,3/26/2006,Home,NOP,9411,15429,70,93.87
1523,Fadeaway Jump Shot,Jump Shot,32,33.8803,-118.3008,8,1,0,2005-06,12,16,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,3/30/2006,Home,SAS,9416,15641,70,100.06
1524,Driving Layup Shot,Layup,53,34.0443,-118.2698,5,1,0,2005-06,46,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/30/2006,Home,SAS,9417,15641,70,100.06
1525,Driving Layup Shot,Layup,108,34.0443,-118.2698,11,2,0,2005-06,6,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/30/2006,Home,SAS,9423,15641,70,100.06
1526,Tip Shot,Tip Shot,128,34.0443,-118.2698,9,2,0,2005-06,33,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/30/2006,Home,SAS,9425,15641,70,100.06
1527,Jump Shot,Jump Shot,160,33.8293,-118.2698,6,2,0,2005-06,47,21,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,3/30/2006,Home,SAS,9426,15641,70,100.06
1528,Jump Shot,Jump Shot,167,34.0343,-118.1368,5,2,0,2005-06,49,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,3/30/2006,Home,SAS,9427,15641,70,100.06
1529,Driving Layup Shot,Layup,205,34.0443,-118.2698,0,2,0,2005-06,49,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/30/2006,Home,SAS,9429,15641,70,100.06
1530,Running Jump Shot,Jump Shot,227,33.9813,-118.2238,11,3,0,2005-06,16,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,3/30/2006,Home,SAS,9430,15641,70,100.06
1531,Jump Shot,Jump Shot,279,33.9603,-118.2698,6,3,0,2005-06,3,8,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,3/30/2006,Home,SAS,9434,15641,70,100.06
1532,Jump Shot,Jump Shot,23,33.8913,-118.1698,9,1,0,2005-06,38,18,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,3/31/2006,Away,SEA,9442,15955,68,94.38
1533,Jump Shot,Jump Shot,204,33.9553,-118.3668,4,2,0,2005-06,4,13,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,3/31/2006,Away,SEA,9458,15955,68,94.38
1534,Jump Shot,Jump Shot,485,33.8893,-118.1288,2,4,0,2005-06,53,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,3/31/2006,Away,SEA,9476,15955,68,94.38
1535,Jump Shot,Jump Shot,25,33.9243,-118.1338,8,1,0,2005-06,34,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/2/2006,Home,HOU,9481,16366,71,93.6
1536,Jump Shot,Jump Shot,33,33.8963,-118.1218,6,1,0,2005-06,54,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/2/2006,Home,HOU,9483,16366,71,93.6
1537,Jump Shot,Jump Shot,68,33.8703,-118.1648,3,1,0,2005-06,4,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/2/2006,Home,HOU,9484,16366,71,93.6
1538,Driving Layup Shot,Layup,87,34.0443,-118.2698,0,1,0,2005-06,6,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/2/2006,Home,HOU,9487,16366,71,93.6
1539,Jump Shot,Jump Shot,148,34.0313,-118.0828,5,2,0,2005-06,36,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,4/2/2006,Home,HOU,9488,16366,71,93.6
1540,Jump Shot,Jump Shot,169,33.7993,-118.1398,3,2,0,2005-06,9,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/2/2006,Home,HOU,9490,16366,71,93.6
1541,Alley Oop Dunk Shot,Dunk,267,34.0443,-118.2698,3,3,0,2005-06,30,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/2/2006,Home,HOU,9502,16366,71,93.6
1542,Jump Shot,Jump Shot,302,33.7963,-118.2028,0,3,0,2005-06,15,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,4/2/2006,Home,HOU,9505,16366,71,93.6
1543,Layup Shot,Layup,368,34.0443,-118.2698,5,4,0,2005-06,10,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/2/2006,Home,HOU,9509,16366,71,93.6
1544,Jump Shot,Jump Shot,71,33.8603,-118.3368,4,1,0,2005-06,37,19,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,4/6/2006,Away,DEN,9515,14830,71,92.08
1545,Jump Shot,Jump Shot,76,33.9123,-118.0958,4,1,0,2005-06,2,21,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/6/2006,Away,DEN,9516,14830,71,92.08
1546,Jump Shot,Jump Shot,389,33.9123,-118.2848,0,3,0,2005-06,2,13,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,4/6/2006,Away,DEN,9532,14830,71,92.08
1547,Running Jump Shot,Jump Shot,523,33.9403,-118.3008,3,5,0,2005-06,32,10,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,4/6/2006,Away,DEN,9539,14830,71,92.08
1548,Layup Shot,Layup,565,34.0443,-118.2698,0,5,0,2005-06,14,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/6/2006,Away,DEN,9542,14830,71,92.08
1549,Jump Shot,Jump Shot,73,33.8603,-118.4408,3,1,0,2005-06,7,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,4/7/2006,Away,PHX,9549,15383,74,97.44
1550,Turnaround Jump Shot,Jump Shot,85,33.9523,-118.3798,1,1,0,2005-06,47,14,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,4/7/2006,Away,PHX,9550,15383,74,97.44
1551,Jump Shot,Jump Shot,92,34.0443,-118.3688,0,1,0,2005-06,40,9,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,4/7/2006,Away,PHX,9553,15383,74,97.44
1552,Jump Shot,Jump Shot,94,33.9553,-118.1928,0,1,0,2005-06,0,11,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,4/7/2006,Away,PHX,9554,15383,74,97.44
1553,Jump Shot,Jump Shot,198,33.9403,-118.3028,1,2,0,2005-06,17,10,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,4/7/2006,Away,PHX,9561,15383,74,97.44
1554,Jump Shot,Jump Shot,262,33.8803,-118.3208,6,3,0,2005-06,16,17,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,4/7/2006,Away,PHX,9566,15383,74,97.44
1555,Jump Shot,Jump Shot,372,33.8893,-118.1108,5,4,0,2005-06,12,22,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/7/2006,Away,PHX,9571,15383,74,97.44
1556,Jump Shot,Jump Shot,46,34.0323,-118.0878,6,1,0,2005-06,31,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,4/9/2006,Home,LAC,9577,17113,71,93.89
1557,Jump Shot,Jump Shot,154,33.9933,-118.0628,6,2,0,2005-06,52,21,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,4/9/2006,Home,LAC,9584,17113,71,93.89
1558,Jump Shot,Jump Shot,274,34.0213,-118.4738,6,3,0,2005-06,49,20,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,4/9/2006,Home,LAC,9592,17113,71,93.89
1559,Driving Layup Shot,Layup,362,34.0443,-118.2698,10,4,0,2005-06,7,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/9/2006,Home,LAC,9596,17113,71,93.89
1560,Jump Shot,Jump Shot,459,33.8373,-118.1138,0,4,0,2005-06,23,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/9/2006,Home,LAC,9602,17113,71,93.89
1561,Jump Shot,Jump Shot,6,33.8193,-118.4178,11,1,0,2005-06,19,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,4/11/2006,Home,GSW,9603,14696,73,96.87
1562,Reverse Layup Shot,Layup,27,34.0443,-118.2698,8,1,0,2005-06,46,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/11/2006,Home,GSW,9604,14696,73,96.87
1563,Reverse Layup Shot,Layup,49,34.0443,-118.2698,6,1,0,2005-06,17,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/11/2006,Home,GSW,9608,14696,73,96.87
1564,Jump Shot,Jump Shot,56,33.8803,-118.1548,5,1,0,2005-06,39,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/11/2006,Home,GSW,9609,14696,73,96.87
1565,Jump Shot,Jump Shot,142,33.9013,-118.1068,9,2,0,2005-06,44,21,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/11/2006,Home,GSW,9613,14696,73,96.87
1566,Jump Shot,Jump Shot,321,33.8093,-118.1418,6,3,0,2005-06,32,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/11/2006,Home,GSW,9623,14696,73,96.87
1567,Slam Dunk Shot,Dunk,143,34.0443,-118.2698,8,2,0,2005-06,59,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/14/2006,Home,POR,9630,13929,68,91.26
1568,Jump Shot,Jump Shot,185,33.8763,-118.1848,4,2,0,2005-06,46,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/14/2006,Home,POR,9633,13929,68,91.26
1569,Jump Shot,Jump Shot,364,33.8703,-118.0878,10,4,0,2005-06,17,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/14/2006,Home,POR,9648,13929,68,91.26
1570,Layup Shot,Layup,183,34.0443,-118.2698,6,2,0,2005-06,59,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/16/2006,Home,PHX,9665,13779,68,97.3
1571,Jump Shot,Jump Shot,239,33.8323,-118.1288,2,2,0,2005-06,58,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/16/2006,Home,PHX,9668,13779,68,97.3
1572,Jump Shot,Jump Shot,411,33.9193,-118.1468,9,4,0,2005-06,23,17,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/16/2006,Home,PHX,9678,13779,68,97.3
1573,Jump Shot,Jump Shot,421,33.9453,-118.4078,8,4,0,2005-06,10,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,4/16/2006,Home,PHX,9679,13779,68,97.3
1574,Driving Layup Shot,Layup,200,34.0443,-118.2698,3,2,0,2005-06,37,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/19/2006,Home,NOP,9693,14426,70,95.79
1575,Driving Layup Shot,Layup,318,34.0443,-118.2698,2,3,0,2006-07,39,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/3/2006,Home,SEA,9718,15213,70,94.5
1576,Driving Layup Shot,Layup,399,34.0443,-118.2698,5,4,0,2006-07,41,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/3/2006,Home,SEA,9720,15213,70,94.5
1577,Jump Shot,Jump Shot,212,34.0143,-118.1158,3,2,0,2006-07,41,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,11/8/2006,Away,POR,9744,14822,72,99.31
1578,Jump Shot,Jump Shot,237,33.9533,-118.0468,0,2,0,2006-07,33,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,11/8/2006,Away,POR,9745,14822,72,99.31
1579,Driving Layup Shot,Layup,242,34.0443,-118.2698,0,2,0,2006-07,0,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/8/2006,Away,POR,9746,14822,72,99.31
1580,Jump Shot,Jump Shot,316,33.9493,-118.4928,2,3,0,2006-07,24,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,11/8/2006,Away,POR,9753,14822,72,99.31
1581,Layup Shot,Layup,79,34.0443,-118.2698,2,1,0,2006-07,8,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/10/2006,Home,DET,9758,14012,70,94.31
1582,Jump Shot,Jump Shot,171,34.0343,-118.1008,5,2,0,2006-07,25,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,11/10/2006,Home,DET,9759,14012,70,94.31
1583,Jump Shot,Jump Shot,373,33.8503,-118.1988,7,4,0,2006-07,31,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/10/2006,Home,DET,9763,14012,70,94.31
1584,Jump Shot,Jump Shot,418,33.7913,-118.3138,3,4,0,2006-07,28,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,11/10/2006,Home,DET,9766,14012,70,94.31
1585,Jump Shot,Jump Shot,424,33.9063,-118.4698,3,4,0,2006-07,5,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,11/10/2006,Home,DET,9767,14012,70,94.31
1586,Running Jump Shot,Jump Shot,233,33.9493,-118.2268,0,2,0,2006-07,0,10,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,11/12/2006,Home,MEM,9777,15761,69,96.06
1587,Jump Shot,Jump Shot,342,33.8353,-118.2758,1,3,0,2006-07,31,20,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,11/12/2006,Home,MEM,9781,15761,69,96.06
1588,Jump Shot,Jump Shot,120,33.9733,-118.5018,0,1,0,2006-07,9,24,0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,11/17/2006,Home,TOR,9789,15958,68,91.72
1589,Jump Shot,Jump Shot,130,34.0573,-118.1138,11,2,0,2006-07,14,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,11/17/2006,Home,TOR,9790,15958,68,91.72
1590,Jump Shot,Jump Shot,440,33.9443,-118.3358,5,4,0,2006-07,45,11,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,11/17/2006,Home,TOR,9799,15958,68,91.72
1591,Jump Shot,Jump Shot,469,33.8633,-118.4568,2,4,0,2006-07,4,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,11/17/2006,Home,TOR,9802,15958,68,91.72
1592,Reverse Layup Shot,Layup,63,34.0443,-118.2698,4,1,0,2006-07,32,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/19/2006,Home,CHI,9805,14947,68,97.21
1593,Jump Shot,Jump Shot,170,34.0343,-118.2158,7,2,0,2006-07,33,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,11/19/2006,Home,CHI,9807,14947,68,97.21
1594,Jump Shot,Jump Shot,271,33.9603,-118.3698,9,3,0,2006-07,17,13,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,11/19/2006,Home,CHI,9812,14947,68,97.21
1595,Jump Shot,Jump Shot,492,33.8913,-118.3598,1,4,0,2006-07,41,17,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,11/19/2006,Home,CHI,9818,14947,68,97.21
1596,Driving Layup Shot,Layup,15,34.0443,-118.2698,9,1,0,2006-07,40,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/21/2006,Home,LAC,9820,16543,72,96.78
1597,Jump Shot,Jump Shot,33,33.8883,-118.3828,7,1,0,2006-07,52,19,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,11/21/2006,Home,LAC,9822,16543,72,96.78
1598,Layup Shot,Layup,57,34.0443,-118.2698,5,1,0,2006-07,24,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/21/2006,Home,LAC,9824,16543,72,96.78
1599,Layup Shot,Layup,373,34.0443,-118.2698,2,3,0,2006-07,46,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/21/2006,Home,LAC,9834,16543,72,96.78
1600,Jump Shot,Jump Shot,409,33.9143,-118.1678,0,3,0,2006-07,0,16,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/21/2006,Home,LAC,9836,16543,72,96.78
1601,Jump Shot,Jump Shot,84,33.9703,-118.1168,3,1,0,2006-07,9,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,11/24/2006,Away,UTA,9847,14039,69,92.08
1602,Follow Up Dunk Shot,Dunk,35,34.0443,-118.2698,6,1,0,2006-07,58,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/26/2006,Home,NJN,9864,13730,69,93.72
1603,Jump Shot,Jump Shot,87,33.8203,-118.1288,0,1,0,2006-07,36,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,11/26/2006,Home,NJN,9869,13730,69,93.72
1604,Jump Shot,Jump Shot,282,33.8893,-118.1088,5,3,0,2006-07,3,22,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/26/2006,Home,NJN,9875,13730,69,93.72
1605,Jump Shot,Jump Shot,421,33.8553,-118.2688,4,4,0,2006-07,25,18,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,11/26/2006,Home,NJN,9880,13730,69,93.72
1606,Driving Layup Shot,Layup,182,34.0443,-118.2698,5,2,0,2006-07,31,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/28/2006,Home,MIL,9889,13520,69,90.89
1607,Jump Shot,Jump Shot,290,33.8063,-118.3648,6,3,0,2006-07,11,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,11/28/2006,Home,MIL,9894,13520,69,90.89
1608,Dunk Shot,Dunk,31,34.0443,-118.2698,7,1,0,2006-07,18,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/30/2006,Home,UTA,9909,17301,70,96.39
1609,Jump Shot,Jump Shot,107,33.8293,-118.2518,11,2,0,2006-07,11,21,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,11/30/2006,Home,UTA,9915,17301,70,96.39
1610,Jump Shot,Jump Shot,222,33.9783,-118.2488,2,2,0,2006-07,9,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,11/30/2006,Home,UTA,9919,17301,70,96.39
1611,Driving Layup Shot,Layup,227,34.0443,-118.2698,1,2,0,2006-07,42,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/30/2006,Home,UTA,9920,17301,70,96.39
1612,Jump Bank Shot,Jump Shot,122,33.9453,-118.1778,11,2,0,2006-07,25,13,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,12/2/2006,Away,LAC,9940,16470,65,94.86
1613,Running Jump Shot,Jump Shot,305,34.0223,-118.3638,3,3,0,2006-07,8,9,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,12/2/2006,Away,LAC,9946,16470,65,94.86
1614,Driving Layup Shot,Layup,36,34.0443,-118.2698,8,1,0,2006-07,11,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/4/2006,Home,IND,9958,13681,71,91.45
1615,Jump Shot,Jump Shot,39,33.8143,-118.1578,7,1,0,2006-07,42,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,12/4/2006,Home,IND,9959,13681,71,91.45
1616,Fadeaway Jump Shot,Jump Shot,24,33.9403,-118.2088,9,1,0,2006-07,1,12,1,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,12/6/2006,Home,NOP,9973,14414,70,94.71
1617,Jump Shot,Jump Shot,91,33.9293,-118.4538,1,1,0,2006-07,17,21,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,12/6/2006,Home,NOP,9976,14414,70,94.71
1618,Jump Shot,Jump Shot,165,33.9113,-118.0568,6,2,0,2006-07,39,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,12/6/2006,Home,NOP,9978,14414,70,94.71
1619,Jump Shot,Jump Shot,249,33.8343,-118.1268,9,3,0,2006-07,34,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,12/6/2006,Home,NOP,9982,14414,70,94.71
1620,Jump Shot,Jump Shot,435,34.0523,-118.0338,2,4,0,2006-07,24,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,12/6/2006,Home,NOP,9987,14414,70,94.71
1621,Jump Shot,Jump Shot,438,34.0093,-118.2668,1,4,0,2006-07,52,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/6/2006,Home,NOP,9988,14414,70,94.71
1622,Jump Shot,Jump Shot,75,33.8813,-118.2748,2,1,0,2006-07,29,16,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,12/10/2006,Home,SAS,9992,16808,71,95.4
1623,Jump Shot,Jump Shot,212,33.5483,-118.4418,0,2,0,2006-07,0,52,0,3PT Field Goal,Back Court(BC),Backcourt,Back Court Shot,12/10/2006,Home,SAS,10000,16808,71,95.4
1624,Running Jump Shot,Jump Shot,237,34.0133,-118.2358,8,3,0,2006-07,55,4,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,12/10/2006,Home,SAS,10002,16808,71,95.4
1625,Jump Shot,Jump Shot,272,33.7963,-118.2318,4,3,0,2006-07,46,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,12/10/2006,Home,SAS,10005,16808,71,95.4
1626,Jump Shot,Jump Shot,360,34.0373,-118.3978,8,4,0,2006-07,32,12,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,12/10/2006,Home,SAS,10008,16808,71,95.4
1627,Jump Shot,Jump Shot,365,33.9063,-118.1828,7,4,0,2006-07,50,16,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,12/10/2006,Home,SAS,10009,16808,71,95.4
1628,Jump Shot,Jump Shot,378,33.9673,-118.3418,6,4,0,2006-07,0,10,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,12/10/2006,Home,SAS,10011,16808,71,95.4
1629,Jump Shot,Jump Shot,87,34.0573,-118.1448,1,1,0,2006-07,35,12,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,12/12/2006,Away,HOU,10021,15495,70,94.8
1630,Driving Layup Shot,Layup,93,34.0443,-118.2698,0,1,0,2006-07,45,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/12/2006,Away,HOU,10022,15495,70,94.8
1631,Jump Shot,Jump Shot,422,34.0063,-118.4978,8,4,0,2006-07,1,23,0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,12/13/2006,Away,DAL,10053,15991,74,92.82
1632,Jump Shot,Jump Shot,254,33.9223,-118.0448,8,3,0,2006-07,30,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,12/15/2006,Home,HOU,10074,14860,72,96.66
1633,Jump Shot,Jump Shot,261,33.9063,-118.1298,7,3,0,2006-07,20,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,12/15/2006,Home,HOU,10076,14860,72,96.66
1634,Layup Shot,Layup,484,34.0443,-118.2698,2,5,0,2006-07,54,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/15/2006,Home,HOU,10090,14860,72,96.66
1635,Jump Shot,Jump Shot,514,33.8943,-118.1518,0,5,0,2006-07,0,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,12/15/2006,Home,HOU,10092,14860,72,96.66
1636,Jump Shot,Jump Shot,117,33.8893,-118.1448,9,2,0,2006-07,43,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,12/17/2006,Home,WAS,10099,14023,71,91.9
1637,Jump Shot,Jump Shot,218,33.8523,-118.0988,0,2,0,2006-07,49,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,12/17/2006,Home,WAS,10102,14023,71,91.9
1638,Jump Shot,Jump Shot,227,33.8803,-118.4698,0,2,0,2006-07,26,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,12/17/2006,Home,WAS,10103,14023,71,91.9
1639,Jump Shot,Jump Shot,254,33.8913,-118.0678,9,3,0,2006-07,13,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,12/17/2006,Home,WAS,10106,14023,71,91.9
1640,Dunk Shot,Dunk,288,34.0443,-118.2698,5,3,0,2006-07,37,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/17/2006,Home,WAS,10108,14023,71,91.9
