rannum,action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id,attendance,arena_temp,avgnoisedb
8534,Jump Shot,Jump Shot,428,20500563,33.9683,209,76,-118.0608,2,4,0,2005-06,12,22,NA,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,1/19/2006,LAL @ SAC,SAC,8527,15410,72,95.8
8535,Jump Shot,Jump Shot,487,20500563,33.7833,66,261,-118.2038,2,5,0,2005-06,30,26,NA,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,1/19/2006,LAL @ SAC,SAC,8532,15410,72,95.8
8536,Jump Shot,Jump Shot,494,20500563,34.0113,-228,33,-118.4978,1,5,0,2005-06,43,23,NA,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612747,Los Angeles Lakers,1/19/2006,LAL @ SAC,SAC,8533,15410,72,95.8
8563,Jump Shot,Jump Shot,19,20500573,34.0043,-163,40,-118.4328,9,1,0,2005-06,16,16,NA,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,1/20/2006,LAL @ PHX,PHX,8538,16167,68,93.78
8564,Jump Shot,Jump Shot,52,20500573,33.8603,189,184,-118.0808,5,1,0,2005-06,45,26,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,1/20/2006,LAL @ PHX,PHX,8541,16167,68,93.78
8565,Jump Shot,Jump Shot,96,20500573,33.9473,-145,97,-118.4148,0,1,0,2005-06,50,17,NA,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,1/20/2006,LAL @ PHX,PHX,8545,16167,68,93.78
8566,Jump Shot,Jump Shot,266,20500573,33.9783,31,66,-118.2388,4,3,0,2005-06,56,7,NA,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,1/20/2006,LAL @ PHX,PHX,8553,16167,68,93.78
8567,Jump Shot,Jump Shot,287,20500573,33.9473,187,97,-118.0828,3,3,0,2005-06,16,21,NA,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,1/20/2006,LAL @ PHX,PHX,8554,16167,68,93.78
8568,Jump Shot,Jump Shot,300,20500573,33.8943,107,150,-118.1628,2,3,0,2005-06,1,18,NA,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,1/20/2006,LAL @ PHX,PHX,8555,16167,68,93.78
8569,Jump Shot,Jump Shot,413,20500573,33.8763,-184,168,-118.4538,1,4,0,2005-06,2,24,NA,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,1/20/2006,LAL @ PHX,PHX,8569,16167,68,93.78
8609,Jump Bank Shot,Jump Shot,231,20500591,33.9863,-33,58,-118.3028,0,2,0,2005-06,51,6,NA,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,1/22/2006,LAL vs. TOR,TOR,8586,13300,73,90.29
8610,Jump Shot,Jump Shot,270,20500591,33.8323,-149,212,-118.4188,8,3,0,2005-06,14,25,NA,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,1/22/2006,LAL vs. TOR,TOR,8593,13300,73,90.29
8611,Slam Dunk Shot,Dunk,351,20500591,34.0443,0,0,-118.2698,1,3,0,2005-06,11,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,1/22/2006,LAL vs. TOR,TOR,8600,13300,73,90.29
8612,Running Jump Shot,Jump Shot,395,20500591,33.9223,62,122,-118.2078,8,4,0,2005-06,53,13,NA,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,1/22/2006,LAL vs. TOR,TOR,8606,13300,73,90.29
8613,Jump Shot,Jump Shot,402,20500591,33.7833,23,261,-118.2468,8,4,0,2005-06,14,26,NA,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,1/22/2006,LAL vs. TOR,TOR,8607,13300,73,90.29
8614,Jump Shot,Jump Shot,441,20500591,33.9983,-135,46,-118.4048,4,4,0,2005-06,25,14,NA,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,1/22/2006,LAL vs. TOR,TOR,8611,13300,73,90.29
8615,Running Jump Shot,Jump Shot,449,20500591,34.0043,23,40,-118.2468,3,4,0,2005-06,26,4,NA,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,1/22/2006,LAL vs. TOR,TOR,8613,13300,73,90.29
8635,Driving Finger Roll Shot,Layup,61,20500631,34.0443,0,0,-118.2698,4,1,0,2005-06,46,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,1/27/2006,LAL vs. GSW,GSW,8618,14837,68,92.17
8636,Jump Shot,Jump Shot,392,20500631,33.9533,-128,91,-118.3978,10,4,0,2005-06,7,15,NA,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,1/27/2006,LAL vs. GSW,GSW,8630,14837,68,92.17
8637,Jump Shot,Jump Shot,546,20500631,33.8883,-90,156,-118.3598,1,5,0,2005-06,3,18,NA,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,1/27/2006,LAL vs. GSW,GSW,8637,14837,68,92.17
8663,Jump Shot,Jump Shot,232,20500646,33.9043,-145,140,-118.4148,1,2,0,2005-06,23,20,NA,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,1/29/2006,LAL @ DET,DET,8650,15181,70,95.96
8664,Jump Shot,Jump Shot,247,20500646,34.0313,-238,13,-118.5078,0,2,0,2005-06,1,23,NA,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612747,Los Angeles Lakers,1/29/2006,LAL @ DET,DET,8652,15181,70,95.96
8665,Layup Shot,Layup,434,20500646,34.0443,0,0,-118.2698,4,4,0,2005-06,58,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,1/29/2006,LAL @ DET,DET,8661,15181,70,95.96
8678,Jump Shot,Jump Shot,45,20500658,33.8223,-138,222,-118.4078,5,1,0,2005-06,41,26,NA,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,1/31/2006,LAL @ NYK,NYK,8669,14559,73,98.23
8679,Jump Shot,Jump Shot,172,20500658,33.8343,131,210,-118.1388,6,2,0,2005-06,33,24,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,1/31/2006,LAL @ NYK,NYK,8673,14559,73,98.23
8680,Jump Shot,Jump Shot,183,20500658,33.8253,117,219,-118.1528,5,2,0,2005-06,45,24,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,1/31/2006,LAL @ NYK,NYK,8674,14559,73,98.23
8681,Driving Layup Shot,Layup,215,20500658,34.0443,0,0,-118.2698,3,2,0,2005-06,4,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,1/31/2006,LAL @ NYK,NYK,8678,14559,73,98.23
8682,Jump Shot,Jump Shot,409,20500658,33.8303,136,214,-118.1338,9,4,0,2005-06,31,25,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,1/31/2006,LAL @ NYK,NYK,8682,14559,73,98.23
8702,Jump Shot,Jump Shot,34,20500664,34.0133,6,31,-118.2638,7,1,0,2005-06,47,3,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/1/2006,LAL @ IND,IND,8688,15837,71,97.84
8703,Driving Layup Shot,Layup,45,20500664,34.0223,0,22,-118.2698,6,1,0,2005-06,39,2,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/1/2006,LAL @ IND,IND,8689,15837,71,97.84
8704,Jump Shot,Jump Shot,216,20500664,34.0093,241,35,-118.0288,1,2,0,2005-06,22,24,NA,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2/1/2006,LAL @ IND,IND,8695,15837,71,97.84
8705,Jump Shot,Jump Shot,233,20500664,33.9553,-161,89,-118.4308,11,3,0,2005-06,21,18,NA,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/1/2006,LAL @ IND,IND,8698,15837,71,97.84
8706,Jump Shot,Jump Shot,341,20500664,34.0083,164,36,-118.1058,0,3,0,2005-06,58,16,NA,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/1/2006,LAL @ IND,IND,8703,15837,71,97.84
8722,Jump Shot,Jump Shot,76,20500679,33.8203,126,224,-118.1438,3,1,0,2005-06,31,25,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/3/2006,LAL @ CHA,CHA,8709,14726,72,91.19
8723,Jump Shot,Jump Shot,246,20500679,33.8763,141,168,-118.1288,11,3,0,2005-06,37,21,NA,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/3/2006,LAL @ CHA,CHA,8716,14726,72,91.19
8724,Jump Shot,Jump Shot,426,20500679,33.9033,207,141,-118.0628,7,4,0,2005-06,21,25,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/3/2006,LAL @ CHA,CHA,8723,14726,72,91.19
8750,Fadeaway Jump Shot,Jump Shot,122,20500689,33.9903,144,54,-118.1258,0,1,0,2005-06,0,15,NA,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2/4/2006,LAL @ NOK,NOP,8737,14257,71,94.14
8772,Jump Shot,Jump Shot,39,20500709,34.0183,190,26,-118.0798,7,1,0,2005-06,4,19,NA,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/7/2006,LAL @ DAL,DAL,8753,14145,69,95.2
8795,Layup Shot,Layup,60,20500720,34.0443,0,0,-118.2698,4,1,0,2005-06,33,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/8/2006,LAL @ HOU,HOU,8773,15230,71,93.54
8796,Jump Shot,Jump Shot,90,20500720,33.8403,176,204,-118.0938,0,1,0,2005-06,46,26,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/8/2006,LAL @ HOU,HOU,8774,15230,71,93.54
8797,Reverse Layup Shot,Layup,181,20500720,34.0443,0,0,-118.2698,3,2,0,2005-06,57,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/8/2006,LAL @ HOU,HOU,8778,15230,71,93.54
8798,Turnaround Jump Shot,Jump Shot,260,20500720,33.8983,-107,146,-118.3768,4,3,0,2005-06,20,18,NA,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/8/2006,LAL @ HOU,HOU,8786,15230,71,93.54
8799,Layup Shot,Layup,324,20500720,34.0443,0,0,-118.2698,9,4,0,2005-06,30,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/8/2006,LAL @ HOU,HOU,8794,15230,71,93.54
8800,Fadeaway Jump Shot,Jump Shot,331,20500720,33.9073,-77,137,-118.3468,8,4,0,2005-06,21,15,NA,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2/8/2006,LAL @ HOU,HOU,8795,15230,71,93.54
8801,Jump Shot,Jump Shot,393,20500720,33.8073,144,237,-118.1258,2,4,0,2005-06,40,27,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/8/2006,LAL @ HOU,HOU,8800,15230,71,93.54
8824,Jump Shot,Jump Shot,39,20500741,34.0573,-197,-13,-118.4668,7,1,0,2005-06,16,19,NA,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/11/2006,LAL vs. MEM,MEM,8804,15001,69,94.5
8825,Jump Shot,Jump Shot,194,20500741,33.9213,125,123,-118.1448,3,2,0,2005-06,24,17,NA,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/11/2006,LAL vs. MEM,MEM,8808,15001,69,94.5
8826,Jump Shot,Jump Shot,236,20500741,33.9903,85,54,-118.1848,11,3,0,2005-06,39,10,NA,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2/11/2006,LAL vs. MEM,MEM,8809,15001,69,94.5
8827,Layup Shot,Layup,304,20500741,34.0443,0,0,-118.2698,4,3,0,2005-06,18,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/11/2006,LAL vs. MEM,MEM,8817,15001,69,94.5
8828,Jump Shot,Jump Shot,349,20500741,33.9583,158,86,-118.1118,1,3,0,2005-06,14,17,NA,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/11/2006,LAL vs. MEM,MEM,8818,15001,69,94.5
8829,Jump Shot,Jump Shot,437,20500741,33.9243,156,120,-118.1138,5,4,0,2005-06,13,19,NA,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/11/2006,LAL vs. MEM,MEM,8825,15001,69,94.5
8844,Jump Shot,Jump Shot,3,20500756,34.0443,177,0,-118.0928,11,1,0,2005-06,40,17,NA,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/13/2006,LAL vs. UTA,UTA,8830,14464,68,92.91
8845,Jump Shot,Jump Shot,85,20500756,33.8863,-199,158,-118.4688,3,1,0,2005-06,43,25,NA,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/13/2006,LAL vs. UTA,UTA,8833,14464,68,92.91
8846,Jump Shot,Jump Shot,122,20500756,33.8093,-112,235,-118.3818,0,1,0,2005-06,27,26,NA,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/13/2006,LAL vs. UTA,UTA,8834,14464,68,92.91
8847,Jump Shot,Jump Shot,169,20500756,33.9163,167,128,-118.1028,6,2,0,2005-06,58,21,NA,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/13/2006,LAL vs. UTA,UTA,8836,14464,68,92.91
8848,Jump Shot,Jump Shot,217,20500756,33.7843,13,260,-118.2568,3,2,0,2005-06,32,26,NA,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/13/2006,LAL vs. UTA,UTA,8837,14464,68,92.91
8849,Jump Shot,Jump Shot,388,20500756,33.8573,205,187,-118.0648,0,3,0,2005-06,41,27,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/13/2006,LAL vs. UTA,UTA,8844,14464,68,92.91
8872,Jump Shot,Jump Shot,26,20500775,33.8203,149,224,-118.1208,8,1,0,2005-06,19,26,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/15/2006,LAL vs. ATL,ATL,8851,16396,70,98.41
8873,Reverse Dunk Shot,Dunk,156,20500775,34.0443,0,0,-118.2698,4,2,0,2005-06,7,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/15/2006,LAL vs. ATL,ATL,8861,16396,70,98.41
8874,Jump Shot,Jump Shot,190,20500775,33.8303,28,214,-118.2418,0,2,0,2005-06,4,21,NA,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/15/2006,LAL vs. ATL,ATL,8864,16396,70,98.41
8875,Jump Shot,Jump Shot,238,20500775,33.8373,154,207,-118.1158,7,3,0,2005-06,3,25,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/15/2006,LAL vs. ATL,ATL,8865,16396,70,98.41
8876,Jump Shot,Jump Shot,343,20500775,33.7763,28,268,-118.2418,9,4,0,2005-06,34,26,NA,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/15/2006,LAL vs. ATL,ATL,8869,16396,70,98.41
8877,Driving Layup Shot,Layup,427,20500775,34.0443,0,0,-118.2698,4,4,0,2005-06,21,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/15/2006,LAL vs. ATL,ATL,8873,16396,70,98.41
8891,Running Jump Shot,Jump Shot,64,20500790,33.8653,-105,179,-118.3748,4,1,0,2005-06,15,20,NA,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/21/2006,LAL vs. POR,POR,8880,15630,75,89.5
8892,Jump Shot,Jump Shot,231,20500790,34.0623,131,-18,-118.1388,0,2,0,2005-06,5,13,NA,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2/21/2006,LAL vs. POR,POR,8884,15630,75,89.5
8893,Jump Shot,Jump Shot,373,20500790,33.9443,141,100,-118.1288,10,4,0,2005-06,52,17,NA,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/21/2006,LAL vs. POR,POR,8888,15630,75,89.5
8894,Jump Shot,Jump Shot,401,20500790,34.0723,-143,-28,-118.4128,8,4,0,2005-06,9,14,NA,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2/21/2006,LAL vs. POR,POR,8889,15630,75,89.5
8895,Driving Layup Shot,Layup,417,20500790,34.0443,0,0,-118.2698,6,4,0,2005-06,40,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/21/2006,LAL vs. POR,POR,8891,15630,75,89.5
8896,Jump Shot,Jump Shot,442,20500790,33.9783,167,66,-118.1028,4,4,0,2005-06,30,17,NA,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/21/2006,LAL vs. POR,POR,8893,15630,75,89.5
8920,Jump Shot,Jump Shot,14,20500802,33.8963,-126,148,-118.3958,9,1,0,2005-06,49,19,NA,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/23/2006,LAL vs. SAC,SAC,8897,15977,69,96.29
8921,Jump Shot,Jump Shot,131,20500802,34.0133,192,31,-118.0778,9,2,0,2005-06,49,19,NA,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/23/2006,LAL vs. SAC,SAC,8905,15977,69,96.29
8922,Running Layup Shot,Layup,223,20500802,34.0443,0,0,-118.2698,1,2,0,2005-06,9,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/23/2006,LAL vs. SAC,SAC,8910,15977,69,96.29
8923,Layup Shot,Layup,358,20500802,34.0443,0,0,-118.2698,8,4,0,2005-06,15,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/23/2006,LAL vs. SAC,SAC,8918,15977,69,96.29
8947,Jump Shot,Jump Shot,238,20500813,33.8293,144,215,-118.1258,0,2,0,2005-06,41,25,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/24/2006,LAL @ LAC,LAC,8939,15632,72,93.07
8948,Jump Shot,Jump Shot,280,20500813,34.0013,-149,43,-118.4188,8,3,0,2005-06,43,15,NA,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2/24/2006,LAL @ LAC,LAC,8940,15632,72,93.07
8949,Jump Shot,Jump Shot,314,20500813,33.9723,227,72,-118.0428,3,3,0,2005-06,59,23,NA,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2/24/2006,LAL @ LAC,LAC,8941,15632,72,93.07
8950,Jump Shot,Jump Shot,399,20500813,33.8453,-168,199,-118.4378,7,4,0,2005-06,31,26,NA,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/24/2006,LAL @ LAC,LAC,8944,15632,72,93.07
8951,Jump Shot,Jump Shot,445,20500813,34.0393,138,5,-118.1318,3,4,0,2005-06,7,13,NA,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2/24/2006,LAL @ LAC,LAC,8949,15632,72,93.07
8952,Jump Shot,Jump Shot,448,20500813,33.8613,177,183,-118.0928,2,4,0,2005-06,55,25,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/24/2006,LAL @ LAC,LAC,8950,15632,72,93.07
8973,Running Jump Shot,Jump Shot,74,20500826,33.9453,-103,99,-118.3728,3,1,0,2005-06,46,14,NA,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2/26/2006,LAL vs. BOS,BOS,8958,15415,67,93.72
8974,Driving Layup Shot,Layup,281,20500826,34.0443,0,0,-118.2698,8,3,0,2005-06,16,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/26/2006,LAL vs. BOS,BOS,8967,15415,67,93.72
8975,Turnaround Jump Shot,Jump Shot,539,20500826,33.8503,-84,194,-118.3538,0,4,0,2005-06,0,21,NA,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/26/2006,LAL vs. BOS,BOS,8975,15415,67,93.72
8992,Jump Shot,Jump Shot,171,20500841,33.9763,154,68,-118.1158,5,2,0,2005-06,23,16,NA,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/28/2006,LAL vs. ORL,ORL,8979,15220,71,97.87
8993,Jump Shot,Jump Shot,207,20500841,33.8323,-141,212,-118.4108,0,2,0,2005-06,29,25,NA,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/28/2006,LAL vs. ORL,ORL,8980,15220,71,97.87
8994,Jump Shot,Jump Shot,423,20500841,33.8423,195,202,-118.0748,3,4,0,2005-06,16,28,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/28/2006,LAL vs. ORL,ORL,8991,15220,71,97.87
8995,Jump Shot,Jump Shot,444,20500841,33.8153,187,229,-118.0828,0,4,0,2005-06,14,29,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/28/2006,LAL vs. ORL,ORL,8995,15220,71,97.87
9018,Jump Shot,Jump Shot,94,20500852,33.9223,218,122,-118.0518,1,1,0,2005-06,13,24,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,3/1/2006,LAL @ POR,POR,8996,15062,73,94.06
9019,Driving Layup Shot,Layup,107,20500852,34.0443,0,0,-118.2698,0,1,0,2005-06,1,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,3/1/2006,LAL @ POR,POR,8998,15062,73,94.06
9020,Jump Shot,Jump Shot,155,20500852,33.9353,146,109,-118.1238,6,2,0,2005-06,59,18,NA,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/1/2006,LAL @ POR,POR,9000,15062,73,94.06
9021,Driving Layup Shot,Layup,158,20500852,34.0113,11,33,-118.2588,6,2,0,2005-06,23,3,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,3/1/2006,LAL @ POR,POR,9001,15062,73,94.06
9022,Jump Shot,Jump Shot,161,20500852,34.0443,212,0,-118.0578,6,2,0,2005-06,19,21,NA,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/1/2006,LAL @ POR,POR,9002,15062,73,94.06
9046,Jump Shot,Jump Shot,75,20500865,33.8933,125,151,-118.1448,4,1,0,2005-06,47,19,NA,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/3/2006,LAL @ GSW,GSW,9024,16281,72,91.56
9047,Jump Shot,Jump Shot,80,20500865,34.0583,-238,-14,-118.5078,4,1,0,2005-06,8,23,NA,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612747,Los Angeles Lakers,3/3/2006,LAL @ GSW,GSW,9026,16281,72,91.56
9048,Jump Shot,Jump Shot,100,20500865,33.9703,-130,74,-118.3998,2,1,0,2005-06,41,14,NA,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,3/3/2006,LAL @ GSW,GSW,9027,16281,72,91.56
9049,Jump Shot,Jump Shot,173,20500865,33.8573,-62,187,-118.3318,7,2,0,2005-06,12,19,NA,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/3/2006,LAL @ GSW,GSW,9034,16281,72,91.56
9050,Jump Shot,Jump Shot,298,20500865,33.8353,156,209,-118.1138,9,3,0,2005-06,7,26,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,3/3/2006,LAL @ GSW,GSW,9038,16281,72,91.56
9051,Jump Shot,Jump Shot,498,20500865,33.8683,8,176,-118.2618,2,4,0,2005-06,50,17,NA,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/3/2006,LAL @ GSW,GSW,9050,16281,72,91.56
9076,Running Jump Shot,Jump Shot,15,20500873,33.9683,103,76,-118.1668,8,1,0,2005-06,55,12,NA,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,3/4/2006,LAL vs. DET,DET,9052,13798,70,96.7
9077,Jump Shot,Jump Shot,41,20500873,33.8423,-20,202,-118.2898,5,1,0,2005-06,32,20,NA,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/4/2006,LAL vs. DET,DET,9054,13798,70,96.7
9107,Driving Finger Roll Shot,Layup,41,20500888,34.0443,0,0,-118.2698,5,1,0,2005-06,30,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,3/6/2006,LAL vs. SAS,SAS,9078,15798,71,100.72
